det_id,pix_x,pix_y,foc_x,foc_y
111,1,1,2738.223088235294,1758.0011764705882
111,1,1128,2739.771323529412,631.0288235294121
111,2000,1,739.10175,1755.1083823529416
111,2000,1128,740.6019705882353,628.1850588235296
112,1,1,2746.056911764706,4181.766617647058
112,1,1128,2743.665294117647,3054.7502941176476
112,2000,1,746.7271764705882,4185.929705882353
112,2000,1128,744.3988676470588,3058.9016176470586
113,1,1,2755.1463235294123,6612.451323529412
113,1,1128,2754.6251470588236,5485.4895588235295
113,2000,1,755.4585147058822,6613.174411764708
113,2000,1128,755.2025147058825,5486.202205882355
114,1,1,2756.2714705882354,9034.82
114,1,1128,2754.194705882354,7907.762500000002
114,2000,1,756.1944999999998,9038.562500000002
114,2000,1128,754.374882352941,7911.562647058824
115,1,1,2764.4123529411763,11457.41176470588
115,1,1128,2763.748235294118,10330.352941176472
115,2000,1,763.6809999999997,11458.627941176468
115,2000,1128,763.3315147058827,10331.552941176471
116,1,1,2768.223235294118,13881.669117647056
116,1,1128,2766.684852941176,12754.68823529412
116,2000,1,766.7839264705882,13884.501470588231
116,2000,1128,765.6386617647058,12757.489705882352
121,1,1,6011.723676470589,1746.2566176470589
121,1,1128,6006.919558823529,619.1684852941177
121,2000,1,4012.5777941176475,1754.4814705882352
121,2000,1128,4007.9170588235293,627.4848382352943
122,1,1,6024.342205882354,4170.87338235294
122,1,1128,6017.302352941178,3043.7504411764703
122,2000,1,4025.054117647059,4183.465000000003
122,2000,1128,4018.1702941176472,3056.4063235294125
123,1,1,6028.424117647059,6601.25176470588
123,1,1128,6026.354117647058,5474.022205882352
123,2000,1,4028.7927941176476,6605.165147058827
123,2000,1128,4026.987205882354,5478.082058823529
124,1,1,6034.255735294118,9032.474999999993
124,1,1128,6032.618970588235,7905.253382352939
124,2000,1,4034.108676470591,9035.88117647059
124,2000,1128,4032.7379411764696,7908.793235294117
125,1,1,6038.446470588236,11445.744117647057
125,1,1128,6034.504852941177,10318.595588235297
125,2000,1,4037.850588235293,11453.567647058822
125,2000,1128,4034.2680882352947,10326.470588235296
126,1,1,6047.528088235294,13881.383823529413
126,1,1128,6045.42147058824,12754.314705882352
126,2000,1,4046.204117647057,13886.373529411767
126,2000,1128,4044.4216176470586,12759.31176470588
131,1,1,9283.422352941176,1741.8557352941173
131,1,1128,9282.36941176471,614.4122352941176
131,2000,1,7284.478823529413,1743.6597058823534
131,2000,1128,7283.396029411763,616.4289264705883
132,1,1,9287.561764705883,4174.504411764706
132,1,1128,9285.88926470588,3047.116176470589
132,2000,1,7288.357352941173,4177.855147058824
132,2000,1128,7286.837794117649,3050.499411764705
133,1,1,9296.70573529412,6606.157647058824
133,1,1128,9296.725147058823,5478.620294117649
133,2000,1,7297.111176470587,6606.825294117648
133,2000,1128,7297.413970588234,5479.498088235292
134,1,1,9305.374411764706,9030.05352941176
134,1,1128,9305.780441176472,7902.545735294119
134,2000,1,7305.382499999999,9030.354411764705
134,2000,1128,7306.0551470588225,7903.10955882353
135,1,1,9317.36867647059,11450.051470588236
135,1,1128,9313.309999999998,10322.679411764708
135,2000,1,7316.851029411765,11458.995588235297
135,2000,1128,7313.062794117649,10331.732352941179
141,1,1,12555.738235294115,1738.7389705882351
141,1,1128,12553.973529411765,610.8375588235291
141,2000,1,10556.757352941177,1741.8023529411764
141,2000,1128,10555.061764705883,614.1976617647059
142,1,1,12570.46176470588,4167.4864705882355
142,1,1128,12571.995588235295,3039.6005882352943
142,2000,1,10571.292647058828,4165.259117647059
142,2000,1128,10573.013235294118,3037.6379411764706
143,1,1,12574.20294117647,6584.865441176467
143,1,1128,12570.886764705887,5456.995294117648
143,2000,1,10574.855882352938,6591.974852941177
143,2000,1128,10571.627941176468,5464.316617647061
144,1,1,12573.039705882356,9014.960294117642
144,1,1128,12569.058823529413,7887.068529411764
144,2000,1,10573.364705882355,9023.920441176471
144,2000,1128,10569.577941176472,7896.335294117648
211,1,1,-770.0402499999999,1772.804117647059
211,1,1128,-774.8755147058824,645.9078088235293
211,2000,1,-2769.1952941176473,1781.1435294117641
211,2000,1128,-2773.8599999999997,654.2341323529411
212,1,1,-771.9070294117644,4198.575000000001
212,1,1128,-768.0467058823529,3071.6649999999995
212,2000,1,-2771.285294117647,4191.3839705882365
212,2000,1128,-2767.238382352941,3064.3872058823526
213,1,1,-769.7306764705879,6612.576911764705
213,1,1128,-772.9501911764708,5485.606617647058
213,2000,1,-2769.4866176470587,6618.002499999999
213,2000,1128,-2772.5605882352947,5491.03205882353
214,1,1,-766.2003235294117,9049.901176470587
214,1,1128,-763.7808235294115,7922.953235294117
214,2000,1,-2766.279264705883,9045.296029411766
214,2000,1128,-2763.636029411765,7918.225882352943
215,1,1,-766.5857647058824,11473.541176470584
215,1,1128,-767.7748529411762,10346.547058823528
215,2000,1,-2767.2769117647053,11474.973529411764
215,2000,1128,-2768.1677941176476,10347.863235294117
216,1,1,-763.4798382352944,13900.514705882353
216,1,1128,-765.5965294117647,12773.536764705881
216,2000,1,-2764.903823529413,13903.26617647059
216,2000,1128,-2766.617647058824,12776.223529411769
221,1,1,-4035.3232352941172,1771.0016176470594
221,1,1128,-4043.3677941176456,644.0407647058822
221,2000,1,-6034.522499999999,1785.0607352941183
